"Invoice_Date","Due_Date","Account_Name","Reference","Invoice_No","Amount","Amount_Paid","Balance","Accrued","Accrued_From_Date","Accrued_To_Date","Authorised_Status"
"01/01/2017","15/01/17","Mystrata Middle East FZ-LLC","Inv: INV-ME/16/1277","INV-ME/16/1277","1675.00","1675.00","","YES","01/01/17","14/03/17","NO"
"01/01/2017","01/01/17","911 Security Services LLC","Inv: 911/2016/2927-A","911/2016/2927-A","5574.00","5574.00","","NO","01/01/17","01/01/17","NO"
"01/01/2017","07/01/17","Al Tawafuq","Inv: 2016/0239","2016/0239","2700.00","2700.00","","NO","01/01/17","01/01/17","NO"
"25/01/2017","08/02/17","DEWA","Inv: 100126114194 (DEWA 22/1/16 to 21/01/17)","100126114194","6632.95","6632.95","","YES","01/01/17","31/01/17","NO"
"31/01/2017","15/02/17","911 Security Services LLC","Inv: 911/2017/2973","911/2017/2973","8160.00","8160.00","","YES","01/01/17","31/01/17","NO"
"31/01/2017","15/02/17","Al Tawafuq","Inv: 2017/0247","2017/0247","2700.00","2700.00","","YES","01/01/17","31/01/17","NO"
"31/01/2017","31/01/17","Kaizen Owner Association Management Services","Inv: INV-0033","INV-0033","5099.30","5099.30","","YES","01/01/17","31/01/17","NO"
"31/01/2017","31/01/17","Mashreq gold","Inv: January 2017 Bank Charges for the returned ch","January 2017 Charges","50.00","50.00","","NO","31/01/17","31/01/17","NO"
"26/02/2017","12/03/17","DEWA","Acct no: 2026667420","2026667420","7878.90","7878.90","","YES","22/01/17","20/02/17","NO"
"28/02/2017","15/03/17","Kaizen Owner Association Management Services","Inv: INV-0034","INV-0034","5099.30","5099.30","","YES","01/02/17","28/02/17","NO"
"28/02/2017","07/03/17","Al Tawafuq","Inv: 2017/0258","2017/0258","2700.00","2700.00","","YES","01/02/17","28/02/17","NO"
"28/02/2017","07/03/17","911 Security Services LLC","Inv: 911/2017/3012","911/2017/3012","8160.00","8160.00","","YES","01/02/17","28/02/17","NO"
"01/03/2017","31/03/17","Mystrata Middle East FZ-LLC","License fee for the period 15 Mar to 14 Jun 2017","INV-ME/17/1530","1675.00","1675.00","","YES","15/03/17","14/06/17","NO"
"31/03/2017","15/04/17","Kaizen Owner Association Management Services","Fee for Owner Assoc Mgnt Services ftm March 2017","INV-0038","5099.30","5099.30","","YES","01/03/17","31/03/17","NO"
"31/03/2017","07/04/17","Al Tawafuq","Cleaning Service Provided for March 2017","2017/0267","2700.00","2700.00","","YES","01/03/17","31/03/17","NO"
"31/03/2017","07/04/17","911 Security Services LLC","Security Service Provided for March 2017","911/2017/3057","8160.00","8160.00","","YES","01/03/17","31/03/17","NO"
"31/03/2017","14/04/17","DEWA","DEWA for March 2017 Acct 2026667420","2026667420","6345.07","6345.07","","YES","21/02/17","21/03/17","NO"
"31/03/2017","31/03/17","DEWA","DEWA for Nov  & Dec 16","DEC 2016","19038.05","19038.05","","NO","31/03/17","31/03/17","NO"
"31/03/2017","31/03/17","Emirates Islamic Bank","Inv: Bank Charges - Mazaya Paid","Bank Charges - Mazay","55.00","55.00","","NO","31/03/17","31/03/17","NO"
"06/04/2017","06/04/17","Gargash Insurance","Insurance Premium Policy No.2/1/020/02500157","DN1/20319/201","12658.50","12658.50","","YES","23/02/17","22/02/18","NO"
"23/04/2017","23/04/17","Alnahrain Security & Safety","50% Final - Fire Protection System","000057","5500.00","5500.00","","YES","01/05/17","30/04/18","NO"
"26/04/2017","10/05/17","DEWA","Account No: 2026667420","April2017 DEWA","7810.20","7810.20","","YES","22/03/17","20/04/17","NO"
"30/04/2017","09/05/17","Dubai Civil Defence Smart Systems Dept","Annual Monitoring Fee of DE-NRCD-0015562","INV10303734","2590.00","2590.00","","YES","01/06/17","31/05/18","NO"
"30/04/2017","15/05/17","Kaizen Owner Association Management Services","April 2017 Owner Association Management Services","INV-0053","5099.30","5099.30","","YES","01/04/17","30/04/17","NO"
"30/04/2017","10/05/17","911 Security Services LLC","Security Service provided for April 2017","911/2017/3104","8160.00","8160.00","","YES","01/04/17","30/04/17","NO"
"30/04/2017","10/05/17","Al Tawafuq","Cleaning Service Provided for April 2017","2017/0279","2700.00","2700.00","","YES","01/04/17","30/04/17","NO"
"30/04/2017","30/06/17","Blue Diamond FM Services LLC","MEP & Minor Civil Maintenance","BDFM-1201/04","554.17","554.17","","YES","15/04/17","30/04/17","NO"
"21/05/2017","31/05/17","Realpoint Real Estate Consultancy LLC","Job No: 707 / RERA Technical Audit / 75% Mob Fee","0882","4500.00","4500.00","","YES","18/05/17","17/05/18","NO"
"30/05/2017","06/06/17","911 Security Services LLC","Security Service May 2017","3149","8160.00","8160.00","","YES","01/05/17","31/05/17","NO"
