"Building_Number","Floor","Unit","Date","Description","General_Fund","General_Penalty","Reserve_Fund","Reserve_Penalty","Journal_Notes","Total"
"","4","R408","03/01/2017","Journal - Reversal of Service Charge","12495.15","","1598.13","","Reversal of Service Charge payable from Mazaya and same has been record as Sundry Invoice","14093.28"
"","2","R201","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","497.77","","","Reversal of Penalty on Mazaya Share","497.77"
"","2","R212","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","534.03","","","Reversal of Penalty on Mazaya Share","534.03"
"","1","R107","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","536.69","","","Reversal of Penalty on Al Mazaya Real Estate LLC Share","536.69"
"","2","R208","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","1100.40","","","Reversal of Penalty on Mazaya Share","1100.40"
"","2","R204","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","497.98","","","Reversal of Penalty on Mazaya Share","497.98"
"","2","R207","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","243.32","","","Reversal of Penalty on Mazaya Share","243.32"
"","2","R205","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","536.69","","","Reversal of Penalty on Mazaya Share","536.69"
"","1","R106","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","574.98","","","Reversal of Penalty on Mazaya Share","574.98"
"","2","R209","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","1100.47","","","Reversal of Penalty on Mazaya Share","1100.47"
"","2","R206","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","559.58","","","Reversal of Penalty on Mazaya Share","559.58"
"","2","R210","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","535.57","","","Reversal of Penalty on Mazaya Share","535.57"
"","2","R211","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","552.37","","","Reversal of Penalty on Mazaya Share","552.37"
"","1","R112","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","570.85","","","Reversal of Penalty on Mazaya Share","570.85"
"","1","R113","13/09/2017","Journal Reversal Penalty - Reversal of Penalty","","545.58","","","Reversal of Penalty on Mazaya Share","545.58"
"","1","R111","03/10/2017","Journal Reversal Penalty - Reversal of Penalty","","100.34","","","Reversal of Penalty","100.34"
"","5","R501","14/10/2017","Journal Reversal Penalty - Reversal of Penalty","","443.20","","","Reversal of Penalty as approved by Sarah","443.20"
"","3","R303","15/10/2017","Journal Reversal Penalty - Reversal of Penalty","","625.68","","","Reversal of Penalty on hand over","625.68"
"","3","R309","27/01/2018","Journal Reversal Penalty - Reversal of Penalty","","792.66","","","Reversal of Penalty on hand over","792.66"
"","3","R308","07/03/2018","Journal Reversal Penalty - Reversal of Penalty","","936.91","","","Reversal of Penalty on hand over","936.91"
"","1","R107","01/04/2018","Journal Reversal Penalty - Reversal of Penalty","","233.45","",""," Reversal of Penalty on Al Mazaya Real Estate LLC share","233.45"
"","2","R212","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","232.26","","","Reversal of Penalty on Mazaya Share","232.26"
"","2","R211","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","240.17","","","Reversal of Penalty on Mazaya Share","240.17"
"","1","R105","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","288.59","","","Reversal of Penalty on Mazaya Share","288.59"
"","1","R112","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","248.29","","","Reversal of Penalty on Mazaya Share","248.29"
"","1","R113","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","237.30","","","Reversal of Penalty on Mazaya Share","237.30"
"","2","R201","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","216.44","","","Reversal of Penalty on Mazaya Share","216.44"
"","2","R210","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","232.89","","","Reversal of Penalty on Mazaya Share","232.89"
"","1","R106","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","250.04","","","Reversal of Penalty on Mazaya Share","250.04"
"","2","R204","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","216.58","","","Reversal of Penalty on Mazaya Share","216.58"
"","2","R205","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","233.45","","","Reversal of Penalty on Mazaya Share","233.45"
"","2","R206","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","243.32","","","Reversal of Penalty on Mazaya Share","243.32"
"","2","R207","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","255.15","","","Reversal of Penalty on Mazaya Share","255.15"
"","2","R208","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","478.52","","","Reversal of Penalty on Mazaya Share","478.52"
"","2","R209","15/04/2018","Journal Reversal Penalty - Reversal of Penalty","","478.52","","","Reversal of Penalty on Mazaya Share","478.52"
"","4","R408","10/06/2018","Journal Reversal Penalty - Reversal of penalty","","","","4.44","Reversal of Penalty","4.44"
"","4","R408","10/07/2018","Journal Reversal Penalty - Reversal of Penalty","","0.50","","3.94","Reversal of Penalty","4.44"
"","1","R105","10/09/2018","Journal Reversal Penalty - Reversal of penalty cha","","165.14","","22.68","","187.82"
"","1","R112","10/09/2018","Journal Reversal Penalty - Reversal of penalty cha","","183.34","","23.49","","206.83"
"","2","R204","10/09/2018","Journal Reversal Penalty - reversal of penalty cha","","159.91","","20.43","","180.34"
"","2","R206","10/09/2018","Journal Reversal Penalty - Reversal of penalty cha","","179.72","","23.04","","202.76"
"","2","R207","10/09/2018","Journal Reversal Penalty - Reversal of penalty cha","","168.33","","22.23","","190.56"
"","6","R601","03/12/2018","Journal Reversal Penalty - Reversal of Penalty","","2317.62","","73.08","Reversal of Penalty till 03.12.2018","2390.70"
"","5","R502","11/12/2018","Journal Reversal Penalty - Reversal of Penalty","","410.40","","44.82","Reversal of Penalty","455.22"
"","3","R302","30/12/2018","Journal Reversal Penalty - Reversal of Penalty","","496.10","","45.00","Reversal of Penalty as approved in Queuepoint Email","541.10"
"","6","R601","01/01/2019","Journal Reversal Penalty - Reversal of Penalty til","","175.88","","16.24","Reversal of Penalty till 01.01.2019","192.12"
"","6","R601","01/02/2019","Journal Reversal Penalty - Reversal of Penalty til","","175.88","","16.24","Reversal of Penalty till 01.02.2019","192.12"
"","5","R508","27/02/2019","Journal Reversal Penalty - Reversal of Penalty on","","2588.48","","102.44","Reversal of Penalty on Mazaya Share","2690.92"
"","6","R601","01/03/2019","Journal Reversal Penalty - Reversal of Penalty","","44.05","","4.06","Reversal of Penalty","48.11"
"","6","R601","01/04/2019","Journal Reversal Penalty - Reversal of Penalty","","175.88","","16.24","Reversal of Penalty","192.12"
"","2","R202","02/04/2019","Journal Reversal Penalty - Reversal of Penalty","","","","5.01","Reversal of Penalty","5.01"
"","2","R202","04/04/2019","Journal Reversal Penalty - Reversal of Penalty","","","","1.67","Reversal of Penalty","1.67"
"","1","R113","22/04/2019","Journal Reversal Penalty - Reversal of Penalty","","40.14","","9.96","Reversal of Penalty","50.10"
"","6","R601","01/05/2019","Journal Reversal Penalty - Reversal of Penalty","","175.58","","12.18","Reversal of Penalty","187.76"
"","1","R109","04/05/2019","Journal Reversal Penalty - Reversal of Penalty","","1699.67","","81.03","Reversal of Penalty - Mazaya Share","1780.70"
"","1","R109","05/05/2019","Journal - Reveral of Service Charge Due from Mazay","10318.61","","956.20","","R053 Unit 109 : Reveral of Service Charge Due from Mazaya- 2 Year waiver ended on 09-01-2019","11274.81"
"","1","R109","05/05/2019","Journal - Reveral of Service Charge Due from Mazay","6946.52","","888.46","","R053 Unit 109 : Reveral of Service Charge Due from Mazaya- 2 Year waiver ended on 09-01-2019","7834.98"
"","5","R506","01/06/2019","Journal Reversal Penalty - Reversal of Penalty","","194.00","","","Reversal of Penalty","194.00"
"","4","R406","01/06/2019","Journal Reversal Penalty - Reversal of Penalty","","193.95","","","Reversal of Penalty","193.95"
"","6","R601","01/06/2019","Journal Reversal Penalty - Reversal of Penalty","","186.58","","16.24","Reversal of Penalty","202.82"
"","6","R601","01/07/2019","Journal Reversal Penalty - Reversal of Penalty","","158.40","","16.24","Reversal of Penalty","174.64"
"","1","R107","07/07/2019","Journal Reversal Penalty - Reversal of Penalty","","1201.54","","117.60","Reversal of Penalty","1319.14"
"","1","R113","08/07/2019","Journal Reversal Penalty - Reversal of Penalty","","128.67","","12.45","Reversal of Penalty","141.12"
"","1","R107","09/07/2019","Journal - Reversal of Service Charge Due from Maza","16451.95","","1566.00","","R053 Unit 107 : Reversal of Service Charge Due from Mazaya, Waiver Till 06-08-2019 ( 2 Year)","18017.95"
"","5","R508","19/07/2019","Journal Reversal Penalty - Reversal of Penalty","","928.78","","86.68","Reversal of Penalty","1015.46"
"","1","R113","19/07/2019","Journal - Reversal of Service Charge Due from Maza","9190.98","","856.29","","R053 Unit 113 : Reversal of Service Charge Due from Mazaya, Hand over notice date is 23-04-2019","10047.27"
"","5","R508","20/07/2019","Journal - Reversal of Service Charge Due from Maza","20682.51","","1940.09","","R053 Unit 508 : Reversal of Service Charge Due from Mazaya, Till 26-02-2019, Hand over Notice date is 27-02-2019","22622.60"
"","5","R508","20/07/2019","Journal - Reversal of Service Charge Due from Maza","12497.38","","1598.13","","R053 Unit 508 : Reversal of Service Charge Due from Mazaya, Till 31-12-2017, Hand over Notice date is 27-02-2019","14095.51"
